"uuid","Fcilty_nam","Street_add","Locality","Postcode","Phone","Website","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","Xcoord","Ycoord","Buy_Online"
"1","A & A Industrial Supplies Pty Ltd","17 LONDON DRIVE","BAYSWATER","3153","0397629322","http://www.aaindustrial.com.au/","","","","","","","","1","145.283731","-37.845415",""
"2","Abrasiflex Pty Ltd","28 BRYANT STREET","PADSTOW","2211","0287085150","http://www.abrasiflex.com.au","","1","1","","","1","","","151.030305","-33.940814",""
"3","Abrasiflex Pty Ltd","14 BASTOW PLACE","MULGRAVE","3170","0395655100","http://www.abrasiflex.com.au","","1","1","","","1","","","145.151336","-37.923894",""
"4","Abrasiflex Pty Ltd","22 FRENCH AVENUE","BRENDALE","4500","0732937000","http://www.abrasiflex.com.au","","1","1","","","1","","","152.979896","-27.312635",""
"5","Abrasiflex Pty Ltd","232-234 COLLIER ROAD","BAYSWATER","6053","0892082000","http://www.abrasiflex.com.au","","1","1","","","1","","","115.921989","-31.905805",""
"6","Abrasiflex Pty Ltd","25 WING STREET","WINGFIELD","5013","0883457700","http://www.abrasiflex.com.au","","1","1","","","1","","","138.559049","-34.836780",""
"7","All Purpose Abrasives","8 MOUNT ERIN ROAD","CAMPBELLTOWN","2560","0246282800","http://www.allpurposeabrasives.com.au","","1","1","","","","","","150.802988","-34.058988",""
"8","Atom Supplies","1 CATO STREET","WINNELLIE","0830","0889427500","http://www.atom.com.au","","1","1","1","","","1","1","130.863497","-12.429033",""
"9","Atom Supplies","4 / 22 ASHOVER ROAD","ROCKLEA","4106","0731944200","http://www.atom.com.au","","1","1","1","","","1","1","153.009257","-27.558681",""
"10","Atom Supplies","13 MICHELMORE STREET","PAGET","4740","0748371300","http://www.atom.com.au","","1","1","1","","","1","1","149.167813","-21.178165",""
"11","Atom Supplies"," 55 JESSIE-LEE ST CNR ZEDORA TN","HENDERSON","6166","0894376588","http://www.atom.com.au","","1","1","1","","","1","1","115.782927","-32.150365",""
"12","Atom Supplies","63 KAYILI STREET","KALGOORLIE","6430","0890251400","http://www.atom.com.au","","1","1","1","","","1","1","121.432381","-30.785845",""
"13","Atom Supplies","Lot 2485 Pemberton Hwy","KARRATHA","6714","0891440800","http://www.atom.com.au","","1","1","1","","","1","1","116.880100","-20.767308",""
"14","Atom Supplies","63 ANDERSON STREET","GERALDTON","6530","0899643644","http://www.atom.com.au","","1","1","1","","","1","1","114.633397","-28.744028",""
"15","Australian Industrial Abrasive","UNIT 2 / 11 LAGANA PLACE","WETHERILL PARK","2164","1300551006","http://www.australianabrasives.com.au/","","1","","","","","","","150.888813","-33.850995",""
"16","Australian Industrial Abrasive","958 STUD ROAD","ROWVILLE","3178","1300551006","http://www.australianabrasives.com.au/","","1","","","","","","","145.235532","-37.910526",""
"17","Australian Industrial Abrasive","2-4 Union Circuit","YATALA","4207","1300551006","http://www.australianabrasives.com.au/","","1","","","","","","","153.225962","-27.747993",""
"18","Australian Industrial Abrasive","UNIT 5 53 BUSHLAND RIDGE","BIBRA LAKE","6163","1300551006","http://www.australianabrasives.com.au/","","1","","","","","","","115.811824","-32.106936",""
"19","Baker & Farrow Pty Ltd","5 GUERNSEY STREET","SANDGATE","2304","0249601222","http://www.bakfar.com.au/","","1","1","","","","","","151.711700","-32.875832","YES"
"20","Baker & Farrow Pty Ltd","15 GLEN MUNRO DRIVE","MUSWELLBROOK","2333","0265409777","http://www.bakfar.com.au/","","1","1","","","","","","150.885149","-32.312586","YES"
"21","Ballarat Saw Service","420 DOWLING STREET","WENDOUREE","3355","1800677344","http://www.bstgroup.com.au/","","1","","","","","","1","143.843837","-37.523873","YES"
